sentence_id	sentence	sentence_domain	source
0016f53c42f5ee477733579eb7b10492794717f76c242a6e5d9445c93c4ddae5	یہ بھی ممکن ہے کہہ ضرورت کے تحت کس پران کوز کو چولہ کے طور پر استعمال کر کے ل رکھ لیا گیا ہو		https://github.com/humsha/USCorpus/
0019fccf0dd870c9dfd91adaa61eb8b7558e141696cbd0485bfcbf88879698d0	گلوکارہ ریانا باربارڈوس حکومت کی جانب سے سفیر مقرر		news
00406c28d36d5b29cfb715d09658cb5e7b3cf37c83b3a57d7c253bbe570f953e	گیس کی قیمتوں میں اضافہ مخر ترک کمپنی کے پورٹ چارجز معاف		https://www.kaggle.com/saurabhshahane/urdu-news-dataset
0047647d7d6cf89ff97ee9a56dbd71b79dd84781e29d8f162304956648146ca4	یہ تین موضوعات ہیں جو خلط مبحث کا شکار ہو گئے ہیں۔		https://github.com/naeem9/urdu-sentences
0049a53ba16a5ab7f40f2c1a883c3c43a76cb3cca8292d5deb7d7646da841cc5	برامدات کی وجہ سے خشک گندم کا بھوسہ کسانوں کی پہنچ سے دور		news
004a5964ef8bb5266cc6580bf7191eca224923058128ce210efdb4c5d5e7522e	آگ اہستہ آہستہ میرے باقی جسم کو		https://github.com/humsha/USCorpus/tree/master/UrduSummaryCorpus/processed
00523556f625f21f7d9466597829dfc217ad48d85a0b120bf68af97746944061	قصور یہ تھا جینے کے خواب دیکھے تھ		https://shayariurdu.com/neend-shayari/page/2/
005530b932f5265179b828e4046fdf2db2319b26f40be46bab6bf4813997535f	مقابلے میں دگنی سے بھی زیادہ ہوگئی ہے		https://www.youtube.com/
0068edac0ed66b59ec920349a483afda0337385bbf0195d5b2d859cfa98a72ac	بندھانی کو قتل جبکہ ایک شخص کو زخمی کردیا گیا		https://github.com/humsha/USCorpus/tree/master/UrduSummaryCorpus/processed
0069d2e2b01f0196f851c531833f1435c48fe6e7237a1c0b9ed5aff2dc67f066	اصطلاح		https://www.urduenglishdictionary.org/English-To-Urdu-Translation/khan/Page-1.htm?SearchType=1#.YlfwnehBy3A
