sentence_id	sentence	sentence_domain	source	is_used	clips_count
1938db11de5fc7e847c4c91a2631f29b7fc09ba9207fde050c10179a7a1debd3	دیگر اسٹارز کی طرح عامر خان بھی بیٹے کو فلموں میں لانے کے لیے کوشاں		news	1	0
195704eb9b94876cb9d25c0789b6a547b12c36fa8c1c3be1fc7cee0b9ae71207	ٹیلر سوئفٹ نے چھٹی بار سال کی بہترین گلوکارہ کا ایوارڈ جیت لیا		news	1	0
195ac4de84a82b8c61bd66939922ede7c87f2eb874fb5a637daf1f96a3b6496c	تو اس سے بڑا احمق کوئی نہیں۔		https://github.com/naeem9/urdu-sentences	1	0
19622abd588b48a50f37bcf7389e27811678b1bd134231b94bc13846965338d1	ان کی اجتماعی شناخت اب جغرافیے سے متعین ہو رہی ہے۔		https://github.com/naeem9/urdu-sentences	1	0
1963de7191d2e3ea529681b2cb33650a23db66fa9ccc0fbf7b0ac51bd2e93673	کھسیانی بلی کھمبا نوچے		http://www.bestrightway.com/2014/04/famous-urdu-proverbs-translated-into.html	1	0
19671f165639438c845888f84a4e4216e7495082070509676bbdd9994e2b03e3	جو بھی قانونی ڈھانچہ تھا۔		https://github.com/naeem9/urdu-sentences	1	0
1967c6d3081ae1bde9c163f430d890f1e5bd9f6633ba890813c21d14c69e3d1a	مسلم لیگ کی جیت اعلی فنکاری کی مرہون منت ہے تو ایم کیو ایم کی گھٹیا فنکاری کی مرہون منت ہے		https://github.com/humsha/USCorpus/	1	0
1967cdea87c86c754d6c60dfea841b6c4a062e3a93dc34fcf25adb0970dd785e	پارٹی کارکنوں کے نام اپنے ایک پیغام میں کہا		self	1	0
196ccfabbdd0ef27aa65c17a92e273d374cf2e468fd6d641a2789aae0efaad31	سندھ پورے پاکستان میں اپنے ذاہقے کے لیے مشہور ہےـ		Self Citation	1	0
197044e430fcf156d9466ef867cf4756a9fe13dfd112d04551fd807d6dbb4104	ماشااللہ۔		https://github.com/junaid340/Urdu_Courpuses/blob/main/ucorpus.txt	1	0
19820f3a7b8df46a3f13cdfea4238af63dd9f9d7602cf2f4ea7e158a0143f9f6	"""اور کپتان کا سب سے بڑا""جرم"" میچ کو فنش نہ کرنا ہے"""		https://github.com/humsha/USCorpus	1	0
198f18091f1a71f8623472ccdff1d92404e8af47d5880fca31945075755a9849	زمین فتنے سے بھر جائے گی۔		https://github.com/naeem9/urdu-sentences	1	0
199385cc83a11ef308872aefdbb00e4aecb28afb82d57e2d61e03e828b2bcd3d	میرے لیے باعث اعزاز ہے کہ ان کا تعلق میرے ملک سے تھا۔		https://github.com/naeem9/urdu-sentences	1	0
1998a244e9f2aa7e8d36f8a4646bad38883b946c8fefcb52c6ebefc75d9eb83f	کورونا وائرس کے باوجود مس امریکا مقابلہ حسن منعقد کرنے کا اعلان		news	1	0
19b0d4a411574a6804292b1910d0c0b7bd24ae478ed2b1e1c51fe2f7e589a8b5	پاکستان نے خود کو محصور کر کے رکھا ہوا ہے۔		https://github.com/naeem9/urdu-sentences	1	0
19b284a16bc63b7937e40df7eff605e50eab30b75c22fc37fa9b2c3e718c5ea2	سہگل کے والد مہاراجہ جموں وکشمیر کی سروس میں تحصیلدار تھے۔		https://github.com/naeem9/urdu-sentences	1	0
19b71e14981913cc9b493147ef63f5015edfa5abfff89d49c96b5ebaf3d532a2	سوات میں بھی یہی ہوا تھا۔		https://github.com/naeem9/urdu-sentences	1	0
19b83f59607750cf539cb4e70e3ad5740f5e81c7de58a12ccc2cc407a5a51955	انسداد کرپشن مہم سعودی عرب کی غیر یقینی معاشی صورتحال		news	1	0
19bceba40f617357dbd252c5cfc7392c5f7cd70a053210e8fe24f071cdc4178c	اردو میں نذیر احمد کی کہانیاں		https://ur.wikipedia.org/	1	0
19c4ff9087d73251b05946d22ee3abbd06971709f810f274f379ea130abdbf97	ایک اور ہندوستانی کھلاڑی چوٹ لگنے سے شدید زخمی		https://data.mendeley.com/datasets/834vsxnb99/3	1	0
19c8f19261198a6d6e2a6532ef00e578b2820096786a5bd4c5f06fab8a4e651f	ایران کی خارجہ پالیسی ماضی میں دو ستونوں پر قائم تھی۔		https://github.com/naeem9/urdu-sentences	1	0
19d015f94d8c21ef8914ad0f6055915c93e10f84c3c4287690da25f2962c5fac	کیٹ مڈلٹن اور شہزادہ ولیم کے ہاں تیسرے بچے کی پیدائش		news	1	0
19d0258bd895474bf62a06912dd1c8a048808bc7ddef3befb3c066a602bd9118	اوروں کے مسائل کیا ہوں۔		https://github.com/naeem9/urdu-sentences	1	0
19d10085de9b9dba302bd6820ca56e14f1a7cdfa1e83f24921593ed6cec7cb65	میں یہ نہیں کہنا چاہتا تھا۔		https://tatoeba.org	1	0
19d14037f5ad0bfcac626d2f84406a48775734221aa9f2e85d13ac2080f0da6b	بنگلورو کے سرکاری اسپتال کے آئی سی یو سے بچہ چوری		https://www.kaggle.com/disisbig/urdu-news-dataset	1	0
19d3f21e5efa28f6d090f318cbdfcd66aae2a15b8d3d0f3fecbd4e9219442fe9	وہ اسے غلامی کہتے ہیں۔		https://github.com/naeem9/urdu-sentences	1	0
19d759b1fdf630ae9d0bbec966eb1d56541f570fc34d996b0e43cb1baa3df738	فٹنس گرو بننے کے لیے یومیہ منٹ کی ورزش ہی کافی		news	1	0
19d7fb61b7f6f2fa44d6d797357ce64ac8143ee83b4ef767140905f2a9d98cc7	مشرف کے دوست شیرافگن نے کہا تھا		https://github.com/Haseebwaheedkhan/Urdu_Corpus_CC0	1	0
19d9b91c9ba71e37ef6cf9f78a9a0f6a2d9eae63e078fae3ccbd01c9b64ac30f	یہ ہمارے اپنے مفاد میں ہے۔		https://github.com/naeem9/urdu-sentences	1	0
19dde22638dd990f2a8aa13c9f9f3707831f5fc60cf544a83a6cbeb0ed23ab5b	وہ اپنی کامیابی کو دنیا کو اپنی معرفت کی تربیت دینے کا ذریعہ مانتے ہیں۔		self	1	0
19e1aaa925da0449577ab1cab148c2b796b1506df3a1ec3c9668a50ca64d840d	یوں بھی موت برحق ہے۔		https://github.com/naeem9/urdu-sentences	1	0
19e470379f6a2476d8ee3cf7db94d9c6b677d06a19f388ffd5cbaaa166b9f926	سیاست متنازع بناتی ہے۔		https://github.com/naeem9/urdu-sentences	1	0
19e599612115e125cd0cb7537e091dce088ccd8c7aa302682366feaa5ad6f6e1	میں نے اس کے مستحق ہونے کے لئے کیا کیا؟		https://github.com/usamabenashraf/Urdu-Sentences.git	1	0
19ea0dd0e04a04a3212c0f5c327ac284d2490c98772ba3fcd53631763a6ebb7b	دوسری صدی عیسوی میں چین میں فٹبال کھیلی جاتی تھی۔		self	1	0
19eba07d3d952768bbb06e2b599c159b8df7b0dd653ed8a7aa8dc48d341d2a2f	جرمنی میں پاکستانی پروفیشنلز کے لیے روزگار کے مواقع بڑھ گئے		https://data.mendeley.com/datasets/834vsxnb99/3	1	0
19ec47ea2f20392f2c6fb2a80e4252d7844c1e4ca4080f780605b3ce3a3172b1	آپ بہت اچھے ہو ـ		Self Citation	1	0
19f3c8f43b981cdc386255ec2e71fafd1a85828c79f4219bb2b5badb9343d483	عہد الست اسی کو کہتے ہیں۔		https://github.com/naeem9/urdu-sentences	1	0
