audio_id,model_name,reference,hypothesis,wer,cer,avg_confidence,ece,duration
common_voice_ur_42810146.mp3,whisper-small,کوئی پارٹی نہیں چھوڑی، ہر گھاٹ کا پانی پیا۔,کوئی پارٹی میں ہی چھوڑی ہر گھارٹ کا پانی تیا,0.5555555555555556,0.20930232558139536,0.806564876745487,0.606564876745487,0.0
common_voice_ur_42810147.mp3,whisper-small,علامہ کو سمجھ نہ آئی کہ دھرنا کب ختم کرنا چاہیے۔,علامہ کو سمجھ لائے کہ درنا کا خدم کرنا جائے ہیں,0.6363636363636364,0.2916666666666667,0.7675843381881713,0.4948570654608986,0.0
common_voice_ur_42810148.mp3,whisper-small,مریکہ اور یورپ میں مزدوروں نے,بریکا اور یوراک میرنے دوروں نے,0.6666666666666666,0.27586206896551724,0.4514603399132428,0.11812700657990949,0.0
common_voice_ur_42810149.mp3,whisper-small,لیکن اندر جو چیز ڈالی جاتی ہے۔,نگیر اندر جو چیز دارلی جاتی ہے,0.42857142857142855,0.23333333333333334,0.834806405362629,0.26337783393405756,0.0
common_voice_ur_42810150.mp3,whisper-small,وہ پنجاب کے وزیر قانون راجہ بشارت ہیں۔,مقنجاب کے وزیرِ قانون راجہ بشارت ہے,0.5,0.21052631578947367,0.6495820387550023,0.6495820387550023,0.0
common_voice_ur_42810151.mp3,whisper-small,لیکن ہمارے ہاں جن کا دیہات سے براہ راست تعلق ہے۔,لیکن ہمارے ہاں جن کا دیہات سے براہِ راستانک ہے,0.36363636363636365,0.14583333333333334,0.7832634377068486,0.08326343770684863,0.0
common_voice_ur_42810152.mp3,whisper-small,برسات کے موسم میں بوندوں کا افسوس کرنا خوبصورتی ہوتا ہے۔,مرساد کے موسم میں مونوں کو افسوس کرنا خوبصورتی ہوتا ہے,0.36363636363636365,0.10714285714285714,0.7530828215952577,0.11671918523162139,0.0
common_voice_ur_42810153.mp3,whisper-small,عمران خان کا ماضی کیا ہے؟,ایران پاک کا مزیق ہے,0.8333333333333334,0.44,0.46865110684718403,0.268651106847184,0.0
common_voice_ur_42810154.mp3,whisper-small,انڈیا کے لوگوں کے مقابلے میں پاکستانی زیادہ خوش کیوں,انڈیا کے لوگوں کے مقابلے میں پاکستانی زیادہ خوش کیوں؟,0.1,0.019230769230769232,0.8568258099257946,0.04317419007420542,0.0
common_voice_ur_42810155.mp3,whisper-small,پرواز میں ایندھن بھرنے سے فالکن کی رینج بڑھ جاتی ہے۔,پرواز میں انگن برنے سے فلکنگی رینج بڑھ جاتی ہے,0.45454545454545453,0.15384615384615385,0.75182712264359,0.45182712264359,0.0
common_voice_ur_42810146.mp3,whisper-medium,کوئی پارٹی نہیں چھوڑی، ہر گھاٹ کا پانی پیا۔,کوئی پارٹی نہیں چھوڑی ہر گھات کا پانی پیا,0.3333333333333333,0.06976744186046512,0.8207230499157538,0.15405638324908721,0.0
common_voice_ur_42810147.mp3,whisper-medium,علامہ کو سمجھ نہ آئی کہ دھرنا کب ختم کرنا چاہیے۔,علامہ کو سمجھنا آئے کہ درنا کا پھر ختم کرنا چاہیئے,0.6363636363636364,0.22916666666666666,0.7560487447246428,0.39241238108827914,0.0
common_voice_ur_42810148.mp3,whisper-medium,مریکہ اور یورپ میں مزدوروں نے,مریکہ اور یورپ میں مسلموں نے,0.16666666666666666,0.13793103448275862,0.6198704263993672,0.2134629069339662,0.0
common_voice_ur_42810149.mp3,whisper-medium,لیکن اندر جو چیز ڈالی جاتی ہے۔,नेगिर अंदर जो चीज़ डाली जाती है,1.0,0.8666666666666667,0.7969435453414917,0.7969435453414917,0.0
common_voice_ur_42810150.mp3,whisper-medium,وہ پنجاب کے وزیر قانون راجہ بشارت ہیں۔,وہ پنجاب کے وزیرا قانون راجہ بشارت ہیں,0.25,0.05263157894736842,0.8225895471193574,0.07258954711935739,0.0
common_voice_ur_42810151.mp3,whisper-medium,لیکن ہمارے ہاں جن کا دیہات سے براہ راست تعلق ہے۔,لیکن ہمارے ہاں جن کا دہاد سے براہی راستانک ہے,0.45454545454545453,0.1875,0.8024613888099277,0.2024613888099277,0.0
common_voice_ur_42810152.mp3,whisper-medium,برسات کے موسم میں بوندوں کا افسوس کرنا خوبصورتی ہوتا ہے۔,مرساد کے موثم میں مونوں کا افسوس کرنا خوبصورتی ہوتا ہے,0.36363636363636365,0.10714285714285714,0.8471542139848072,0.21079057762117082,0.0
common_voice_ur_42810153.mp3,whisper-medium,عمران خان کا ماضی کیا ہے؟,پیوڑانہ کا ماضی کیا ہے؟,0.3333333333333333,0.32,0.5794986514374614,0.5794986514374614,0.0
common_voice_ur_42810154.mp3,whisper-medium,انڈیا کے لوگوں کے مقابلے میں پاکستانی زیادہ خوش کیوں,اندیا کے لوگوں کے مقابلے میں پاکستانی زیادہ خوش کیوں؟,0.2,0.038461538461538464,0.8907403099921443,0.09074030999214422,0.0
common_voice_ur_42810155.mp3,whisper-medium,پرواز میں ایندھن بھرنے سے فالکن کی رینج بڑھ جاتی ہے۔,فرواز میں انگن بھرنے سے فالکن کی رینج بڑھ جاتی ہے,0.2727272727272727,0.09615384615384616,0.8112655142943066,0.08399278702157931,0.0
common_voice_ur_42810146.mp3,whisper-large,کوئی پارٹی نہیں چھوڑی، ہر گھاٹ کا پانی پیا۔,کوئی پارٹی نہیں چھوڑی ہر گھاٹ کا پانی پیا,0.2222222222222222,0.046511627906976744,0.9613027572631836,0.1835249794854058,0.0
